segment_id,bank,hito_code,source_order,easting_m,northing_m,epsg
el_silencio_01,RIGHT,HMD-01,1,300320.4606,8682714.7636,32718
el_silencio_01,RIGHT,HMD-02,2,300366.4606,8682862.7636,32718
el_silencio_01,RIGHT,HMD-03,3,300393.4606,8682961.7636,32718
el_silencio_01,RIGHT,HMD-04,4,300390.4606,8683081.7636,32718
el_silencio_01,RIGHT,HMD-05,5,300414.4606,8683385.7636,32718
el_silencio_01,RIGHT,HMD-06,6,300450.4606,8683486.7636,32718
el_silencio_01,RIGHT,HMD-07,7,300495.4606,8683564.7636,32718
el_silencio_01,RIGHT,HMD-08,8,300490.4606,8683702.7636,32718
el_silencio_01,RIGHT,HMD-09,9,300488.4606,8683919.7636,32718
el_silencio_01,RIGHT,HMD-10,10,300487.4606,8684015.7636,32718
el_silencio_01,RIGHT,HMD-11,11,300451.4606,8684063.7636,32718
el_silencio_01,RIGHT,HMD-12,12,300461.4606,8684143.7636,32718
el_silencio_01,RIGHT,HMD-13,13,300492.4606,8684269.7636,32718
el_silencio_01,RIGHT,HMD-14,14,300492.4606,8684363.7636,32718
el_silencio_01,RIGHT,HMD-15,15,300470.4606,8684461.7636,32718
el_silencio_01,RIGHT,HMD-16,16,300447.4606,8684557.7636,32718
el_silencio_01,RIGHT,HMD-17,17,300452.4606,8684701.7636,32718
el_silencio_01,LEFT,HMI-01,1,300568.8992,8683074.7636,32718
el_silencio_01,LEFT,HMI-02,2,300521.8992,8683209.7636,32718
el_silencio_01,LEFT,HMI-03,3,300569.8992,8683422.7636,32718
el_silencio_01,LEFT,HMI-04,4,300597.8992,8683631.7636,32718
el_silencio_01,LEFT,HMI-05,5,300627.8992,8683870.7636,32718
el_silencio_01,LEFT,HMI-06,6,300633.8992,8684024.7636,32718
el_silencio_01,LEFT,HMI-07,7,300652.8992,8684230.7636,32718
el_silencio_01,LEFT,HMI-08,8,300555.8992,8684351.7636,32718
el_silencio_01,LEFT,HMI-09,9,300524.8992,8684455.7636,32718
el_silencio_01,LEFT,HMI-10,10,300499.8992,8684587.7636,32718
el_silencio_01,LEFT,HMI-11,11,300506.8992,8684700.7636,32718
