segment_id,bank,hito_code,source_order,easting_m,northing_m,epsg
el_silencio_main,RIGHT,HMD-01,1,299143.4606,8680238.7636,32718
el_silencio_main,RIGHT,HMD-02,2,299202.4606,8680409.7636,32718
el_silencio_main,RIGHT,HMD-03,3,299318.4606,8680548.7636,32718
el_silencio_main,RIGHT,HMD-04,4,299384.4606,8680650.7636,32718
el_silencio_main,RIGHT,HMD-05,5,299443.4606,8680744.7636,32718
el_silencio_main,RIGHT,HMD-06,6,299541.4606,8680815.7636,32718
el_silencio_main,RIGHT,HMD-07,7,299584.4606,8680910.7636,32718
el_silencio_main,RIGHT,HMD-08,8,299628.4606,8680960.7636,32718
el_silencio_main,RIGHT,HMD-09,9,299656.4606,8681028.7636,32718
el_silencio_main,RIGHT,HMD-10,10,299738.4606,8681294.7636,32718
el_silencio_main,RIGHT,HMD-11,11,299781.4606,8681380.7636,32718
el_silencio_main,RIGHT,HMD-12,12,299860.4606,8681487.7636,32718
el_silencio_main,RIGHT,HMD-13,13,299930.4606,8681564.7636,32718
el_silencio_main,RIGHT,HMD-14,14,299956.4606,8681681.7636,32718
el_silencio_main,RIGHT,HMD-15,15,299985.4606,8681734.7636,32718
el_silencio_main,RIGHT,HMD-16,16,299964.4606,8681800.7636,32718
el_silencio_main,RIGHT,HMD-17,17,299987.4606,8681877.7636,32718
el_silencio_main,RIGHT,HMD-18,18,300022.4606,8681962.7636,32718
el_silencio_main,RIGHT,HMD-19,19,300083.4606,8682135.7636,32718
el_silencio_main,RIGHT,HMD-20,20,300300.4606,8682575.7636,32718
el_silencio_main,RIGHT,HMD-21,21,300653.0525,8682875.3180,32718
el_silencio_main,RIGHT,HMD-22,22,301101.4606,8682997.7636,32718
el_silencio_main,RIGHT,HMD-23,23,301245.9849,8683072.1684,32718
el_silencio_main,RIGHT,HMD-24,24,301459.4606,8683255.7636,32718
el_silencio_main,RIGHT,HMD-25,25,301641.4606,8683385.7636,32718
el_silencio_main,RIGHT,HMD-26,26,301793.4606,8683551.7636,32718
el_silencio_main,RIGHT,HMD-27,27,301873.4606,8683628.7636,32718
el_silencio_main,RIGHT,HMD-28,28,301978.4606,8683678.7636,32718
el_silencio_main,RIGHT,HMD-29,29,302150.4606,8683784.7636,32718
el_silencio_main,RIGHT,HMD-30,30,302320.4606,8683880.7636,32718
el_silencio_main,RIGHT,HMD-31,31,302447.4606,8684074.7636,32718
el_silencio_main,RIGHT,HMD-32,32,302489.4606,8684235.7636,32718
el_silencio_main,RIGHT,HMD-33,33,302530.4606,8684377.7636,32718
el_silencio_main,RIGHT,HMD-34,34,302510.4606,8684487.7636,32718
el_silencio_main,RIGHT,HMD-35,35,302580.4606,8684575.7636,32718
el_silencio_main,RIGHT,HMD-36,36,302766.4606,8684659.7636,32718
el_silencio_main,RIGHT,HMD-37,37,302881.4606,8684656.7636,32718
el_silencio_main,RIGHT,HMD-38,38,302913.4606,8684718.7636,32718
el_silencio_main,RIGHT,HMD-39,39,302982.4606,8684833.7636,32718
el_silencio_main,RIGHT,HMD-40,40,303073.4606,8684900.7636,32718
el_silencio_main,RIGHT,HMD-41,41,303157.4606,8684919.7636,32718
el_silencio_main,RIGHT,HMD-42,42,303309.4606,8684842.7636,32718
el_silencio_main,RIGHT,HMD-43,43,303423.4606,8684831.7636,32718
el_silencio_main,RIGHT,HMD-44,44,303512.4606,8684880.7636,32718
el_silencio_main,RIGHT,HMD-45,45,303612.4606,8684884.7636,32718
el_silencio_main,RIGHT,HMD-46,46,303663.4606,8684930.7636,32718
el_silencio_main,RIGHT,HMD-47,47,303725.4606,8684921.7636,32718
el_silencio_main,RIGHT,HMD-48,48,303745.4606,8684890.7636,32718
el_silencio_main,RIGHT,HMD-49,49,303754.4606,8684796.7636,32718
el_silencio_main,RIGHT,HMD-50,50,303839.4606,8684785.7636,32718
el_silencio_main,RIGHT,HMD-51,51,303975.4606,8684810.7636,32718
el_silencio_main,RIGHT,HMD-52,52,304072.4606,8684890.7636,32718
el_silencio_main,RIGHT,HMD-53,53,304089.4606,8684957.7636,32718
el_silencio_main,RIGHT,HMD-54,54,304113.4606,8684987.7636,32718
