bank,hito_code,source_order,easting_m,northing_m,epsg
RIGHT,HMD-01,1,295078.4606,8678393.7636,32718
RIGHT,HMD-02,2,295239.4606,8678454.7636,32718
RIGHT,HMD-03,3,295407.4606,8678484.7636,32718
RIGHT,HMD-04,4,295728.4606,8678458.7636,32718
RIGHT,HMD-05,5,295837.4606,8678585.7636,32718
RIGHT,HMD-06,6,295911.4606,8678656.7636,32718
RIGHT,HMD-07,7,295976.4606,8678680.7636,32718
RIGHT,HMD-08,8,296042.4606,8678739.7636,32718
RIGHT,HMD-09,9,296170.4606,8678815.7636,32718
RIGHT,HMD-10,10,296231.4606,8678861.7636,32718
RIGHT,HMD-11,11,296303.4606,8678953.7636,32718
RIGHT,HMD-12,12,296350.4606,8679036.7636,32718
RIGHT,HMD-13,13,296423.4606,8679095.7636,32718
RIGHT,HMD-14,14,296559.4606,8679179.7636,32718
RIGHT,HMD-15,15,296642.4606,8679259.7636,32718
RIGHT,HMD-16,16,296787.4606,8679275.7636,32718
RIGHT,HMD-17,17,296850.4606,8679262.7636,32718
RIGHT,HMD-18,18,296902.4606,8679299.7636,32718
RIGHT,HMD-19,19,296991.4606,8679310.7636,32718
RIGHT,HMD-20,20,297110.4606,8679298.7636,32718
RIGHT,HMD-21,21,297214.4606,8679279.7636,32718
RIGHT,HMD-22,22,297331.4606,8679288.7636,32718
RIGHT,HMD-23,23,297376.4606,8679333.7636,32718
RIGHT,HMD-24,24,297383.4606,8679368.7636,32718
RIGHT,HMD-25,25,297435.4606,8679450.7636,32718
RIGHT,HMD-26,26,297556.4606,8679556.7636,32718
RIGHT,HMD-27,27,297653.4606,8679575.7636,32718
RIGHT,HMD-28,28,297795.4606,8679604.7636,32718
RIGHT,HMD-29,29,297807.4606,8679698.7636,32718
RIGHT,HMD-30,30,297787.4606,8679764.7636,32718
RIGHT,HMD-31,31,297849.4606,8679902.7636,32718
RIGHT,HMD-32,32,297946.4606,8680025.7636,32718
RIGHT,HMD-33,33,298033.4606,8680097.7636,32718
RIGHT,HMD-34,34,298183.4606,8680103.7636,32718
RIGHT,HMD-35,35,298314.4606,8680135.7636,32718
RIGHT,HMD-36,36,298526.4606,8680131.7636,32718
RIGHT,HMD-37,37,298970.4606,8680017.7636,32718
RIGHT,HMD-38,38,299681.7519,8679958.0803,32718
RIGHT,HMD-39,39,299829.1825,8679773.2045,32718
RIGHT,HMD-40,40,299870.7221,8679478.1935,32718
RIGHT,HMD-41,41,299968.3536,8679298.0119,32718
RIGHT,HMD-42,42,300132.6601,8679164.6616,32718
RIGHT,HMD-43,43,300356.4981,8679145.6116,32718
RIGHT,HMD-44,44,300529.2449,8679084.0297,32718
RIGHT,HMD-45,45,300660.2139,8678894.8522,32718
RIGHT,HMD-46,46,300733.6359,8678970.9201,32718
RIGHT,HMD-47,47,300754.1412,8679017.2223,32718
RIGHT,HMD-48,48,300757.4485,8679085.3526,32718
RIGHT,HMD-49,49,300824.9174,8679209.7070,32718
RIGHT,HMD-50,50,300926.1207,8679342.6604,32718
RIGHT,HMD-51,51,300996.8969,8679455.1086,32718
RIGHT,HMD-52,52,300943.3186,8679713.7393,32718
RIGHT,HMD-53,53,300930.7509,8679922.0991,32718
RIGHT,HMD-54,54,301054.4439,8680107.3078,32718
RIGHT,HMD-55,55,301279.3402,8680307.7301,32718
RIGHT,HMD-56,56,301418.2467,8680513.4440,32718
RIGHT,HMD-57,57,301565.4606,8680732.7636,32718
RIGHT,HMD-58,58,301743.4606,8680940.7636,32718
RIGHT,HMD-59,59,301929.5550,8681059.8097,32718
RIGHT,HMD-60,60,302043.0174,8681142.6244,32718
RIGHT,HMD-61,61,302245.6666,8681047.1648,32718
RIGHT,HMD-62,62,302526.6546,8680894.2353,32718
RIGHT,HMD-63,63,302634.4606,8680844.7636,32718
RIGHT,HMD-64,64,302818.4606,8680891.7636,32718
RIGHT,HMD-65,65,302975.4606,8680942.7636,32718
RIGHT,HMD-66,66,303163.4606,8680929.7636,32718
RIGHT,HMD-67,67,303377.4606,8680906.7636,32718
RIGHT,HMD-68,68,303544.4606,8680851.7636,32718
RIGHT,HMD-69,69,303669.4606,8680825.7636,32718
RIGHT,HMD-70,70,303830.4606,8680817.7636,32718
